epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,281.348,0.49259,3.86058,0.40862,0.33637,1.11941,0.99823,1,0.995,0.89134,0.99823,1,0.995,0.53566,0.66902,2.38783,0.51606,0.33183,1.06433,0.0007592,0.0007592,0.0007592
96,284.308,0.49407,4.02812,0.40391,0.35086,1.11954,0.99828,1,0.995,0.88539,0.99828,1,0.995,0.55246,0.65286,2.13087,0.51959,0.30627,1.02447,0.000746,0.000746,0.000746
97,287.228,0.50786,4.20892,0.39517,0.35617,1.14201,0.99801,1,0.995,0.8262,0.99801,1,0.995,0.48872,0.81351,2.07785,0.46302,0.35489,1.22348,0.0007328,0.0007328,0.0007328
98,290.154,0.50345,3.77852,0.3872,0.35713,1.12664,0.9978,1,0.995,0.82273,0.9978,1,0.995,0.55784,0.84612,1.97875,0.44563,0.39592,1.27748,0.0007196,0.0007196,0.0007196
99,293.07,0.50368,3.74458,0.3959,0.35517,1.13789,0.99837,1,0.995,0.84016,0.99837,1,0.995,0.61278,0.66815,1.82902,0.50905,0.30895,1.00539,0.0007064,0.0007064,0.0007064
100,295.997,0.50447,3.98047,0.38713,0.35089,1.13503,0.99824,1,0.995,0.8315,0.99824,1,0.995,0.62913,0.71096,1.72088,0.51047,0.33425,1.06911,0.0006932,0.0006932,0.0006932
101,298.949,0.51901,4.16668,0.40087,0.35934,1.14073,0.99818,1,0.995,0.86724,0.99818,1,0.995,0.66095,0.73321,1.78868,0.45731,0.34142,1.15579,0.00068,0.00068,0.00068
102,301.905,0.4968,3.89569,0.39169,0.36032,1.13621,0.99741,1,0.995,0.84398,0.99741,1,0.995,0.5174,0.78017,2.07031,0.45713,0.38103,1.30399,0.0006668,0.0006668,0.0006668
103,304.838,0.49624,3.63181,0.38373,0.36157,1.12301,0.99753,1,0.995,0.87318,0.99753,1,0.995,0.62019,0.69481,1.61618,0.42073,0.37153,1.10405,0.0006536,0.0006536,0.0006536
104,307.819,0.49771,3.82254,0.39481,0.34367,1.13981,0.99767,1,0.995,0.82709,0.99767,1,0.995,0.7031,0.83269,1.72585,0.42506,0.36838,1.35863,0.0006404,0.0006404,0.0006404
105,310.762,0.4938,3.80073,0.39997,0.34088,1.13247,0.9976,1,0.995,0.83836,0.9976,1,0.995,0.58711,0.81087,1.98503,0.41314,0.36109,1.30345,0.0006272,0.0006272,0.0006272
106,313.673,0.48876,3.81197,0.38654,0.34941,1.13176,0.99791,1,0.995,0.90317,0.99791,1,0.995,0.60458,0.55187,1.98123,0.40961,0.2892,0.88413,0.000614,0.000614,0.000614
107,316.608,0.48095,3.74554,0.36331,0.33854,1.13553,0.99803,1,0.995,0.89823,0.99803,1,0.995,0.65777,0.57409,1.6139,0.44477,0.28925,0.9193,0.0006008,0.0006008,0.0006008
108,319.56,0.48813,3.57147,0.37525,0.34839,1.13171,0.99791,1,0.995,0.86618,0.99791,1,0.995,0.66215,0.763,1.60348,0.3937,0.31497,1.22232,0.0005876,0.0005876,0.0005876
109,322.499,0.49671,3.28724,0.3775,0.32908,1.14717,0.99808,1,0.995,0.82891,0.99808,1,0.995,0.50631,0.89052,2.11532,0.45706,0.37846,1.34188,0.0005744,0.0005744,0.0005744
110,325.446,0.50235,3.32886,0.38175,0.35282,1.13765,0.9983,1,0.995,0.8753,0.9983,1,0.995,0.65078,0.6544,1.91622,0.4609,0.31862,0.98148,0.0005612,0.0005612,0.0005612
111,328.367,0.4562,3.25398,0.39484,0.33175,1.10268,0.99826,1,0.995,0.87641,0.99826,1,0.995,0.57599,0.67067,2.0924,0.48083,0.32235,1.01278,0.000548,0.000548,0.000548
112,331.324,0.49265,3.62247,0.37568,0.3548,1.12176,0.99817,1,0.995,0.88912,0.99817,1,0.995,0.69655,0.64996,1.66908,0.44746,0.32348,0.97465,0.0005348,0.0005348,0.0005348
113,334.328,0.4915,3.56891,0.37658,0.34537,1.13094,0.99782,1,0.995,0.85772,0.99782,1,0.995,0.66196,0.74653,1.55286,0.40854,0.34336,1.10769,0.0005216,0.0005216,0.0005216
114,337.315,0.48054,3.4168,0.36698,0.34752,1.13231,0.99761,1,0.995,0.9061,0.99761,1,0.995,0.69403,0.58514,1.45678,0.42532,0.31377,0.91473,0.0005084,0.0005084,0.0005084
115,340.369,0.48692,3.41755,0.36449,0.34435,1.13914,0.99798,1,0.995,0.90905,0.99798,1,0.995,0.63753,0.46765,1.5002,0.44618,0.26599,0.80326,0.0004952,0.0004952,0.0004952
